Account_Number__c,AccountSource,BillingCity,BillingCountry,BillingPostalCode,BillingState,BillingStreet,Industry,Name,NumberofEmployees,Phone,Type
ACCT-314278610,Nickey,Banjeru,Indonesia,,,646 Oxford Drive,Transportation,Midel,7342,840-715-2168,Integrator
ACCT-201830578,Morgen,Szynwałd,Poland,33-158,,88 Clove Pass,Hospitality,Voomm,2337,101-490-5473,Analyst
ACCT-525267957,Katharine,Xukou,China,,,92 Orin Road,Communications,Photospace,9398,468-944-7913,Investor
ACCT-470338734,Mikkel,Mergayu,Indonesia,,,2 Grim Park,Chemicals,Chatterpoint,2721,837-146-5081,Competitor
ACCT-738945902,Rasia,Viesīte,Latvia,,,766 Kennedy Court,Insurance,Yoveo,6826,578-482-0346,Prospect
ACCT-619822282,Zandra,Haarlem,Netherlands,2014,Provincie Noord-Holland,94498 Green Ridge Trail,Shipping,Quire,4675,485-574-5397,Other
ACCT-054789114,Sara-ann,Vilarelho,Portugal,4910-597,Viana do Castelo,1 Riverside Way,Shipping,Zoonoodle,904,218-609-8009,Reseller
ACCT-085823096,Ulberto,Sŭngho 1-tong,North Korea,,,22661 Dryden Park,Education,Babbleset,9777,817-825-2618,Reseller
ACCT-217318511,Huntley,Złotniki,Poland,38-300,,88927 Thierer Plaza,Retail,Innotype,1101,433-528-5503,Reseller
ACCT-862990013,Berkie,Stará Paka,Czech Republic,507 91,,66492 Dwight Trail,Construction,Thoughtworks,82,377-669-9701,Customer
ACCT-285951431,Adriana,Limeil-Brévannes,France,94454 CEDEX,Île-de-France,07179 Armistice Parkway,Healthcare,Meetz,3639,793-423-6177,Press
ACCT-615018579,Aubine,Isheyevka,Russia,433310,,65752 Pankratz Street,Chemicals,Brainsphere,6081,362-203-5547,Other
ACCT-831667730,Carol-jean,Łopuszna,Poland,34-432,,0424 Kropf Point,Chemicals,Browsebug,1052,843-332-7012,Competitor
ACCT-066351560,Regina,Rosario del Ingre,Bolivia,,,7686 Sutteridge Pass,Telecommunications,Skinder,6228,108-356-6274,Partner
ACCT-200183693,Shurlock,Hacienda La Calera,Chile,,,4 Helena Avenue,Media,Feedfire,1285,333-382-7143,Analyst
ACCT-631969298,Aldon,Birr,Ireland,R42,,2851 Talisman Way,Recreation,Eimbee,681,227-191-9698,Competitor
ACCT-816310511,Brina,Kamirenjaku,Japan,181-0012,,56 New Castle Hill,Chemicals,Zava,8729,356-244-5862,Prospect
ACCT-473171763,Aleksandr,Nancha,China,,,0056 Helena Pass,Food & Beverage,Zoomdog,6046,306-998-2169,Customer
ACCT-121871823,Celestia,Zwolle,Netherlands,8019,Provincie Overijssel,103 Crownhardt Parkway,Other,Eazzy,5736,738-124-6373,Analyst
ACCT-185025192,Perrine,Liliana,Indonesia,,,6 Scott Road,Apparel,Quimba,343,377-625-7527,Analyst
ACCT-394596429,Nalani,Liqizhuang,China,,,09 Oxford Road,Telecommunications,Dynava,4978,944-229-9447,Other
ACCT-394189545,Karilynn,Melfort,Canada,B3H,Saskatchewan,34877 Caliangt Alley,Media,Avamm,2594,401-420-6702,Integrator
ACCT-963006316,Myrilla,Shitang,China,,,04224 Victoria Plaza,Recreation,Zava,1993,880-531-5999,Competitor
ACCT-479903247,Angel,Aleksandrovac,Serbia,,,9586 Northfield Parkway,Telecommunications,Vinte,7583,716-847-8792,Competitor
